species,long,lat
physeter_macrocephalus,460180.4704,1685020.798
physeter_macrocephalus,460024.9638,1685016.226
physeter_macrocephalus,459627.3674,1684621.233
physeter_macrocephalus,459664.1634,1686429.744
physeter_macrocephalus,460805.4546,1691111.59
physeter_macrocephalus,460508.7909,1692238.683
physeter_macrocephalus,460515.9166,1692162.165
physeter_macrocephalus,459471.5805,1694953.354
physeter_macrocephalus,459031.4645,1695932.366
physeter_macrocephalus,456972.0086,1698249.954
physeter_macrocephalus,455609.1411,1698571.132
physeter_macrocephalus,456160.2788,1699889.045
physeter_macrocephalus,457187.8891,1699855.986
physeter_macrocephalus,456967.0117,1697944.386
physeter_macrocephalus,457248.2654,1697590.28
physeter_macrocephalus,458900.3654,1694299.217
physeter_macrocephalus,459822.6677,1694122.434
physeter_macrocephalus,446289.5877,1707311.037
physeter_macrocephalus,446272.1725,1707381.602
physeter_macrocephalus,446320.4803,1707678.35
physeter_macrocephalus,447445.3382,1709660.568
physeter_macrocephalus,447445.3382,1709660.568
physeter_macrocephalus,447656.753,1710091.16
physeter_macrocephalus,449614.4778,1711274.883
physeter_macrocephalus,449614.4778,1711274.883
physeter_macrocephalus,449985.2373,1711435.888
physeter_macrocephalus,449985.2373,1711435.888
physeter_macrocephalus,450123.7243,1711506.206
physeter_macrocephalus,450360.5862,1709270.536
physeter_macrocephalus,450179.9859,1706119.05
physeter_macrocephalus,450179.9859,1706119.05
physeter_macrocephalus,450467.5839,1706181.404
physeter_macrocephalus,452133.1353,1705384.199
physeter_macrocephalus,451428.0253,1704422.607
physeter_macrocephalus,451918.1125,1704037.486
physeter_macrocephalus,451435.9274,1704233.959
physeter_macrocephalus,451544.9239,1704394.393
physeter_macrocephalus,452033.2146,1704536.727
physeter_macrocephalus,452542.391,1702620.313
physeter_macrocephalus,452702.6637,1701018.738
physeter_macrocephalus,455005.4544,1698494.312
physeter_macrocephalus,454890.0458,1698126.783
physeter_macrocephalus,455597.2291,1696140.902
physeter_macrocephalus,456689.4679,1695416.179
physeter_macrocephalus,460569.3483,1679725.945
physeter_macrocephalus,459952.8617,1678174.016
physeter_macrocephalus,457368.7806,1692228.838
physeter_macrocephalus,455190.8463,1697766.764
physeter_macrocephalus,455087.8937,1697729.741
physeter_macrocephalus,454047.7479,1702276.758
physeter_macrocephalus,452965.7477,1707666.233
physeter_macrocephalus,453118.6893,1707715.828
physeter_macrocephalus,452578.6243,1707851.032
physeter_macrocephalus,452578.6243,1707851.032
physeter_macrocephalus,450292.2458,1710763.154
physeter_macrocephalus,444978.1834,1713346.489
physeter_macrocephalus,455796.8764,1692414.211
physeter_macrocephalus,459694.9838,1690526.045
physeter_macrocephalus,459706.9688,1690348.081
physeter_macrocephalus,461242.9144,1687730.875
physeter_macrocephalus,462528.6897,1685303.537
physeter_macrocephalus,462713.3644,1683696.155
physeter_macrocephalus,462214.093,1682139.734
physeter_macrocephalus,462058.657,1681882.409
physeter_macrocephalus,461862.8817,1681421.488
physeter_macrocephalus,461807.5512,1680995.343
physeter_macrocephalus,461193.9337,1681668.3
physeter_macrocephalus,460462.9972,1684693.422
physeter_macrocephalus,460657.9983,1685236.819
physeter_macrocephalus,459801.3156,1687288.621
physeter_macrocephalus,458450.2718,1687906.925
physeter_macrocephalus,463136.5932,1685652.28
physeter_macrocephalus,463677.127,1683685.745
physeter_macrocephalus,461990.7391,1684437.035
physeter_macrocephalus,461530.8835,1687303.267
physeter_macrocephalus,462139.3301,1688072.642
physeter_macrocephalus,462668.9483,1688376.666
physeter_macrocephalus,461436.0569,1688952.411
physeter_macrocephalus,454600.9409,1697452.676
physeter_macrocephalus,453884.0983,1697977.838
physeter_macrocephalus,452409.2677,1699696.767
physeter_macrocephalus,452275.8584,1700883.669
physeter_macrocephalus,451598.9618,1704165.498
physeter_macrocephalus,450482.4842,1708015.353
physeter_macrocephalus,451929.5137,1710609.046
physeter_macrocephalus,452806.9317,1708157.708
physeter_macrocephalus,452294.4292,1707316.39
physeter_macrocephalus,452314.2397,1705960.13
physeter_macrocephalus,453137.6699,1705269.051
physeter_macrocephalus,452176.897,1704128.256
physeter_macrocephalus,453966.0824,1700306.165
physeter_macrocephalus,454859.3164,1698699.844
physeter_macrocephalus,453648.8813,1702273.435
physeter_macrocephalus,449320.017,1701444.28
physeter_macrocephalus,449038.6392,1701403.91
physeter_macrocephalus,447737.2607,1700831.565
physeter_macrocephalus,447132.0976,1701476.408
physeter_macrocephalus,449279.5053,1707896.423
physeter_macrocephalus,472773.6417,1651511.696
physeter_macrocephalus,480042.8163,1631210.189
physeter_macrocephalus,480042.8163,1631210.189
physeter_macrocephalus,482574.3233,1623702.792
physeter_macrocephalus,482744.8576,1625666.035
physeter_macrocephalus,483478.4232,1626949.513
physeter_macrocephalus,483209.6203,1622196.802
physeter_macrocephalus,480733.6777,1622520.609
physeter_macrocephalus,481963.9657,1621645.501
physeter_macrocephalus,482776.75,1620929.197
physeter_macrocephalus,483272.7145,1621319.519
physeter_macrocephalus,483272.7145,1621319.519
physeter_macrocephalus,482970.8374,1622935.818
physeter_macrocephalus,482970.8374,1622935.818
physeter_macrocephalus,460477.0961,1679313.348
physeter_macrocephalus,460836.6783,1681476.31
physeter_macrocephalus,459592.1591,1687097.623
physeter_macrocephalus,457490.8965,1692900.769
physeter_macrocephalus,455509.8499,1693709.311
physeter_macrocephalus,450359.0522,1697250.081
physeter_macrocephalus,443200.9935,1700462.343
physeter_macrocephalus,443200.9935,1700462.343
physeter_macrocephalus,452956.7951,1714191.488
physeter_macrocephalus,441346.5326,1711353.117
physeter_macrocephalus,442413.4127,1712166.763
physeter_macrocephalus,447148.9468,1720671.818
physeter_macrocephalus,454396.8825,1696113.088
physeter_macrocephalus,455761.7162,1687928.721
physeter_macrocephalus,455761.7162,1687928.721
physeter_macrocephalus,455761.7162,1687928.721
physeter_macrocephalus,455955.8977,1687423.105
physeter_macrocephalus,461322.3384,1686673.204
physeter_macrocephalus,461322.3384,1686673.204
physeter_macrocephalus,461525.1399,1686654.169
physeter_macrocephalus,460348.4217,1685991.89
physeter_macrocephalus,454605.0843,1708906.598
physeter_macrocephalus,455295.7226,1706726.058
physeter_macrocephalus,459061.8843,1694854.393
physeter_macrocephalus,459079.5524,1695812.635
physeter_macrocephalus,466067.3242,1689057.825
physeter_macrocephalus,457506.0646,1686619.438
physeter_macrocephalus,443888.51,1690492.055
physeter_macrocephalus,446292.0658,1688839.714
physeter_macrocephalus,448234.8513,1690370.883
physeter_macrocephalus,455306.7138,1698416.127
physeter_macrocephalus,455306.7138,1698416.127
physeter_macrocephalus,457371.1575,1697022.798
physeter_macrocephalus,458289.8421,1696407.487
physeter_macrocephalus,458121.2425,1696144.804
physeter_macrocephalus,459184.9774,1694902.177
physeter_macrocephalus,459280.237,1694804.523
physeter_macrocephalus,459280.237,1694804.523
physeter_macrocephalus,459640.3078,1694059.653
physeter_macrocephalus,459640.3078,1694059.653
physeter_macrocephalus,458373.3806,1690285.903
physeter_macrocephalus,456504.6529,1687942.409
physeter_macrocephalus,455993.2858,1690983.038
physeter_macrocephalus,456227.8666,1690426.498
physeter_macrocephalus,460576.3143,1684973.78
physeter_macrocephalus,460986.9794,1683465.474
physeter_macrocephalus,460986.9794,1683465.474
physeter_macrocephalus,461136.4816,1689203.783
physeter_macrocephalus,461136.4816,1689203.783
physeter_macrocephalus,461047.5104,1689307.364
physeter_macrocephalus,460853.9095,1689347.791
physeter_macrocephalus,460037.4074,1691494.036
physeter_macrocephalus,460037.4074,1691494.036
physeter_macrocephalus,458067.1017,1695248.168
physeter_macrocephalus,457728.9072,1695106.11
physeter_macrocephalus,457867.7441,1694622.912
physeter_macrocephalus,457927.0647,1694389.289
physeter_macrocephalus,459615.0449,1691371.899
physeter_macrocephalus,483144.2788,1623055.681
